C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,TAUST (K),Ms (K)
0.47,0.35,0.82,0.04,1.2,0,0.11,0.14,0,0,0,0,0,0,0.01,0.01,1153,570
0.47,0.35,0.82,0.04,1.2,0,0.11,0.14,0,0,0,0,0,0,0.01,0.01,1323,573
0.55,0.22,0.98,0.01,1.02,0,0.11,0.07,0,0,0,0,0,0,0.01,0.01,1153,540
0.55,0.22,0.98,0.01,1.02,0,0.11,0.07,0,0,0,0,0,0,0.01,0.01,1323,555
0.58,0.89,0.81,0.06,1.27,0.02,0.11,0,0,0,0,0,0,0,0.01,0.01,1143,538
0.58,0.89,0.81,0.06,1.27,0.02,0.11,0,0,0,0,0,0,0,0.01,0.01,1223,530
0.38,0.29,0.78,0.14,0.99,0.08,0.06,0.2,0,0.022,0.021,0,0.01,0,0.01,0.01,1148,624
0.39,0.28,0.76,0.14,0.99,0.03,0.12,0.21,0,0,0.047,0,0.01,0,0.01,0.01,1148,656
0.4,0.27,0.75,0.13,0.96,0.07,0.06,0.2,0,0,0.035,0,0.01,0,0.01,0.01,1148,634
0.24,0.21,1.06,0.18,0.79,0.02,0.1,0.17,0,0,0,0,0,0,0.01,0.01,1153,702
0.24,0.21,1.06,0.18,0.79,0.02,0.1,0.17,0,0,0,0,0,0,0.01,0.01,1323,689
0.24,0.13,0.35,3.5,1.75,0.49,0.12,0,0,0,0,0,0,0,0.01,0.01,1273,606
0.24,0.25,0.74,0.67,0.37,0.52,0.03,0,0,0,0,0,0,0,0.01,0.01,1133,666
0.24,0.13,0.35,3.5,1.75,0.49,0.12,0,0,0,0,0,0,0,0.01,0.01,1086,604
0.26,0.32,0.76,0.72,1.08,1.25,0.31,0,0,0,0,0,0,0,0.01,0.01,1228,636
0.27,0.5,1.36,0.68,0.58,0.34,0.08,0,0,0,0,0,0,0,0.01,0.01,1173,628
0.32,0.4,0.4,3.3,1.43,0.33,0.19,0,0,0,0,0,0,0,0.01,0.01,1123,554
0.32,0,0.51,3.02,1.37,0.48,0.18,0,0,0,0,0,0,0,0.01,0.01,1107,606
0.32,0,0.72,1.7,0.82,0.31,0.17,0,0,0,0,0,0,0,0.01,0.01,1172,606
